month,payment_method,amount
2024-09-07,Airbnb,329770
2024-09-17,Airbnb,329770
2024-09-22,Airbnb,281420
2023-09-02,Airbnb,281420
2023-09-09,Airbnb,281420
2023-09-14,Airbnb,233070
2023-09-23,Airbnb,281423
2023-09-30,Airbnb,281420
2023-09-19,계좌이체,280000
2024-09-06,계좌이체,350000
2024-09-14,계좌이체,350000
2024-09-15,계좌이체,350000
2024-09-20,계좌이체,350000
2024-09-21,계좌이체,350000
2024-09-26,계좌이체,280000
2024-09-28,계좌이체,350000
2024-09-29,계좌이체,280000
2024-10-19,계좌이체,350000
2024-10-25,계좌이체,350000
2024-10-26,계좌이체,350000
2024-10-04,Airbnb,349110
2024-10-05,Airbnb,349110
2024-10-08,계좌이체,281420
2024-10-12,Airbnb,329770
2024-10-13,Airbnb,281420
2024-10-17,Airbnb,590860
2023-10-01,Airbnb,329770
2023-10-02,Airbnb,281420
2023-10-07,Airbnb,281420
2023-10-09,Airbnb,329770
2023-10-14,Airbnb,281420
2023-10-28,Airbnb,329770
